sentence	complex_word	anno1	anno2	annos3	anno4	anno5	annos6	annos7
In 2018 zijn er 419 personen in detentie voorgelicht middels een groepsvoorlichting.	middels	met	via	door				
De openbare ruimte fungeert als het bindende element met meanderende  fiets- en wandelpaden.	fungeert	speelt	Is	geldt	dient	werkt		
Het uitganspunt dat we denken, werken en handelen vanuit een gezamenlijk opgave.	opgave	probleem	uitdaging	doel	resultaat	opdracht	uitgangspunt	
In de planning zijn deze stappen in de tijd uitgezet.	uitgezet	opgenomen	gezet	geplaatst	aangegeven			
Dienstverlening zit momenteel in een belangrijke fase.	momenteel	nu	tegenwoordig					
Er wordt hierbij ook gerefereerd aan het Jongerenservicepunt in Nieuw-West dat helaas een aantal jaar geleden is opgeheven.	gerefereerd	gelinkt	herinnerd	gedacht	verwezen			
Na deze datum heeft wederom een beoordeling plaatsgevonden en zijn 5 gedoogverklaringen verlengd tot maart 2022.	wederom	nog	alweer	opnieuw	weer			
De nieuwbouw gaat in vormgeving en innovatieve bouwmethoden mee in de historische ontwikkelingen in het park.	innovatieve	nieuwe	vernieuwende					
De bebouwing aan de Klaprozenweg is zeer wisselend en de straat heeft geen verblijfskwaliteit.	verblijfskwaliteit	sfeer						
Wij gebruiken verschillende categorieën persoonsgegevens van de medewerkers::	categorieën	soorten	groepen	typen	types			
Kosten van de WAS organisatie, denk aan de salarisbegroting, de salarisrealisatie, overhead, functie toelagen etc.	overhead	kosten	bedrijfskosten					
Met betrekking tot voorliggende tekst:	voorliggende	deze	volgende	de	eerdere			
Tot slot moet de vertaalslag worden gemaakt in de procesbeschrijving en in instrumenten.	vertaalslag	aanpassing	verandering	omzetting	vertaling	toepassing	bewerking	omslag
maar ook van andere directies binnen het cluster Interne Dienstverlening (bijvo0rbeeld Financiën, Communicatie)	cluster	netwerk	deel	pakket				
Waarom denk je dat we regels hebben omtrent declaraties?	omtrent	Rondom	rond	voor	over	betreffende	om	
Tijdens de tweede workshop stedenbouw werd stilgestaan bij de resultaten van een drietal onderzoeken:	drietal	drie	aantal	paar	stel			
In de Voorjaarsnota 2017 heeft Dienstverlening structureel € 8,8 miljoen toegewezen gekregen ter dekking van de gesignaleerde knelpunten.	structureel	blijvend	jaarlijks					
De gemeente bevordert hiermee de transitie naar uitstootvrij varen onder particulieren in Amsterdam.	transitie	overgang	verandering	Verandering	stap			
Bijvoorbeeld om hun kansen op de arbeidsmarkt te vergroten of te werken aan hun zelfredzaamheid.	zelfredzaamheid	veiligheid	onafhankelijkheid	toekomst	autonomie			
We reflecteren op de uitvoering van het Leer- en Ontwikkelplan tot dan toe.	reflecteren	evalueren	kijken					
Hiervoor zijn voor de aanpak drie doelen gesteld (gelijk aan de Top600) :	gelijk							
Deze belangrijke voorwaarde om het programma af te bouwen is in de derde voortgangsrapportage reeds benoemd.	reeds	al	eerder					
Hoewel het nieuwe systeem in het begin natuurlijk even wennen kan zijn.	Hoewel	Terwijl						
Dit raakt ook aan het belang van het genereren en behouden van vertrouwen in de overheid.	genereren	creëren	bevorderen	opbouwen	maken			
Dit is na een relatief lange aanloopfase van het programma in de tweede helft van 2017 te ambitieus gebleken.	relatief	redelijk	vrij					
In 2018 zijn de samenwerkingsafspraken verder geïmplementeerd.	geïmplementeerd	Toegepast	Ingegaan	uitgebreid	toegepast	Uitgevoerd	uitgewerkt	ingevoerd
De gemeente werkt nog uit wat de exacte venstertijden worden en beziet of daarin nog differentiatie nodig is.	beziet	kijkt						
Vaak werken ze flankerend, zij-aan-zij met de jongerenadviseurs en de intensieve jongerenschuldhulpverlening.	flankerend	helpend						
Veel ambtenaren, bestuurders en volksvertegenwoordigers zijn al bezig met deze manier van samenwerken.	bezig	begonnen						
Het verbeteren van het perspectief en motivatie tot gedragsverandering van de (ex-) gedetineerde zijn daarbij cruciaal.	cruciaal	belangrijk	noodzakelijk	beslissend	essentieel			
Deel 1 met de meeste prioriteit zijn direct na vaststelling van Deel 1 uitgewerkt:	prioriteit	voorrang						
Daarnaast bieden we leerinterventies aan die het strategisch vermogen van de (beleids)adviseur vergroten.	vermogen	kunnen	Kunnen	succes	belang	talent	ervaring	
Deze begon met een kick-off in de Vondeltuin, met bewoners en exploitant.	kick-off	aftrap	start					
Waar nodig mèt de expertise van de Treiteraanpak.	expertise	deskundigheid	kennis	ervaring				
Ook dit is een leerontwikkeling die de volle aandacht heeft van DVL en wordt meegenomen in de P&C-cyclus 2019.	meegenomen	opgenomen	vermeld	verwerkt	beschreven			
De lagere lasten komen vooral het temporiseren in investeringen bij de 152 grondexploitaties en 38 gebiedsontwikkelingsprojecten.	temporiseren	verlagen	snijden	uitstellen				
In de gesprekscyclus kunnen jullie samen de gemaakte afspraken evalueren en controleren op actualiteit.	evalueren	onderzoeken	analyseren	beoordelen	bekijken	controleren		
Het afgelopen jaar heeft het loket (procedureel) advies gegeven of experts ingeschakeld.	procedureel							
Woningtypen en financieringscategorieën worden waar mogelijk op kavelniveau gemengd, zodat er een gedifferentieerde samenstelling van bewoners ontstaat;	gedifferentieerde	gemengde						
‘Compensatie voor armoede’ past hier ook onder.	Compensatie	vergoeding	Vergoeding	hulp	actie			
Deze visie beschrijft een aantal randvoorwaarden voor het maken van een stadstraat:	randvoorwaarden	eisen	voorwaarden					
Het is niet mogelijk om technische middelen als een beamer te gebruiken.	middelen	apparatuur	voorzieningen	spullen	zaken			
Per stadsdeel is een analyse gemaakt van het bereikte potentieel jongeren.	potentieel	aandeel	aantal	mogelijke				
De maandelijkse budgetgesprekken en de maandrapportage worden de komende periode verder geoptimaliseerd met extra aandacht voor de prognoses.	geoptimaliseerd	uitgebreid	aangevuld	uitgewerkt	aangepast	verbeterd		
Het westelijk deel bestaat uit een viertal zelfstandige kantoorvilla’s van twee tot vier lagen.	viertal	aantal	vier	paar				
De noodzaak om kwalitatief hoogwaardig groen toe te voegen in het gebied is evident.	evident	hoog	vanzelfsprekend	duidelijk				
Op het gebied van preventie doet de gemeente veel en heeft de inspanning onlangs nog verder geïntensiveerd.	onlangs	recent	recentelijk	Laatst	kortgeleden	laatst		
Om de vraag naar ligplaatsen en verdeling over de locaties te coördineren stelt de gemeente een ligplaatscoördinator aan.	coördineren	begeleiden	organiseren	samenvoegen				
Tijdens het besluitvormingsproces wordt, afhankelijk van de omvang/complexiteit en risico’s, vroegtijdig en frequent afgestemd met:	vroegtijdig	tijdig	snel	eerder	vroeg			
Hetzelfde geldt voor het delen van huisvesting met ketenpartners en een decentraal aanbod.	decentraal	specifiek	plaatselijk	Plaatselijk				
Ligplaatsvergunningen in openbaar water worden voor bepaalde tijd uitgegeven in een objectief en transparant uitgifteproces;	transparant	eerlijk	doorzichtig	open	duidelijk	Duidelijk		
Binnen het transport over water zijn de volgende activiteiten te onderscheiden:	onderscheiden	Benoemen	herkennen	noemen	zien			
Op basis hiervan is destijds een koers ingezet binnen het leer- en ontwikkelaanbod.	destijds	er	toen	toentertijd				
De nieuwe woonwijk beslaat een oppervlakte van circa 4,5 hectare.	circa	ongeveer						
Daarvoor zal de Verordening op het binnenwater 2019 moeten worden aangepast.	Verordening	wetgeving	wet					
De plaatsing van bomen heeft eveneens een positief effect op het windklimaat.	eveneens	verder	ook	weer				
De operationele regie blijft daarbij bij de stadsdelen, gefaciliteerd en ondersteund vanuit het AcVZ.	gefaciliteerd	geregeld	Geregeld	georganiseerd	ondersteund			
Zo nodig wordt het onderwerp geagendeerd in de overlegvergadering tussen GS en OR.	geagendeerd	meegenomen	behandeld	besproken				
De nieuwe functie van de procesmanager leges en begroting heeft hieraan ook bijgedragen.	leges	vergoedingen						
De aanlevering van de mutaties gebeurt via het reorganisatieprojectteam en de regiefunctionaris.	mutaties	veranderingen?	aanpassingen	veranderingen				
Dit laat niet onverlet dat ook op gebouwniveau maatregelen moeten worden genomen om oververhitting te voorkomen.	onverlet	los						
Wonen hoofdzakelijk bovenverdiepingen, niet-wonen op begane grond.	hoofdzakelijk	vooral	grotendeels	voornamelijk				
Illegaal passagiersvervoer dusdanig bestrijden dat legale exploitanten niet worden benadeeld in hun bedrijfsvoering.	dusdanig	zo	zodanig					
(Alleen starten bij aanvang blok)	aanvang	begin	start					
locaties waar opslag op de wal noodzakelijk is zullen uitsluitend voor goederenvervoer worden aangewezen;	noodzakelijk	vereist	nodig					
Als er lokaal geen toepassingsmogelijkheden zijn voor deze materialen dan kunnen de materialen ook elders opnieuw gebruikt worden.	elders	ergens						
Welke mogelijkheden voor jouw (persoonlijke) ontwikkeling zie jij in relatie tot jouw functie en het werk?	relatie	betrekking	verband	verhouding				
Wel zal Ravel op een aantal essentiële punten hiervan verschillen.	essentiële	beslissende	belangrijke					
Inhoudelijke adviseur en expert op digitale veiligheid;	Inhoudelijke							
Het proces van bewustwording moet er uiteindelijk toe leiden dat de intentie ontstaat om de schulden op te lossen.	intentie	bedoeling	wil	wens				
Daarnaast wordt het vakmanschap versterkt dat nodig is om als professional te kunnen opereren, ongeacht waar je werkt.	ongeacht	los	onafhankelijk					
Dit is een mogelijke indicatie dat VEOA bij jongeren meer oplevert.	indicatie	aanwijzing	verklaring					
Maar tegelijkertijd ook durven doorpakken en snelheid maken als dat nodig is.	doorpakken	Doorgaan	beslissen	Doorwerken	doorwerken	doorgaan	vasthouden	
De gemeente acht dit soort afspraken niet meer van deze tijd.	acht	vindt	erkent					
Dit onderdeel van het programma is qua werkwijze en overlegstructuur ondergebracht bij het AcVZ.	qua	met	voor	volgens	in			
In Ravel wordt gestreefd naar een norm van 0,15 voor woongebouwen, conform de standaard bouwenvelop Zuidas.	conform	volgens	zoals					
Ook kwamen een tweetal schoolklassen van basisschool	tweetal	twee	aantal	paar				
We gaan enerzijds verder met het vertalen van bestaande leerinterventies naar de doelgroep.	enerzijds	ook						
Na zes weken informeren en waarschuwen is Waternet in juli 2019 met de daadwerkelijke handhaving begonnen.	daadwerkelijke	officiële	echte					
Vanaf 2025 moeten immers alle pleziervaartuigen in Amsterdam uitstootvrij varen.	immers	toch	namelijk					
Bevindingen uit het onderzoek zijn allereerst in het rapport opgenomen om de praktijk een impuls te geven.	impuls	steun	kracht	signaal	duwtje	stimulans	aanmoediging	
Zijn er consequenties voor de medewerkers en/of managers?	consequenties	gevolgen						
Het verstevigen van het beleidsvak door o.a. complexiteit uiteen te rafelen in heldere denkstappen en logische argumentatie.	complexiteit	moeilijkheden	versimpelen	moeilijkheid	ingewikeldheid	ingewikkeldheid	Moeilijkheid?	Ingewikkeldheid
In de beleidsregels is uitgewerkt dat de verdeling van de beschikbare exploitatievergunningen per segment (type passagiersvaartuigen) geschiedt.	geschiedt	gebeurt						
Dit gebeurt in de praktijk wel en de gemeente heeft dat tot op heden gedoogd.	heden	nu	vandaag					
In 2018 is het aanbod justitiële plekken mede hierdoor uitgebreid van 80 naar 100 plekken.	mede	deels	ook					
De grotere aanwezigheid van handhavers op het water en de communicatiecampagne hebben een preventieve werking op overlast gevend gedrag.	preventieve	voorkomende						
Dit komt omdat het vaak gaat om transformaties waar veel partijen bij zijn betrokken.	transformaties	Veranderingen	veranderingen	projecten				
In het ontwerp van Ravel wordt voorts uitgegaan van een aantal aanvullingen op de gemeentelijke ‘Nota Parkeernormen'	voorts	steeds	ook					
Dit is lager dat het regulier jaarvignet en komt tegemoet aan de administratieve lasten van de gemeente.	regulier	bestaande	Normale	normale	huidige			
Amsterdam heeft hiertoe in 2012 het FSC convenant getekend.	convenant	verdrag	document					
Naast bovengenoemde benadering stond Kredietcrisis onder risicojongeren een ‘directe aanpak’ voor waarbij:	bovengenoemde	eerdere	die	deze				
De herontwikkeling van de Vondeltuin stond al tientallen jaren op de agenda.	tientallen	vele	meerdere	Al				
U hebt voornoemde vraag op het Bibob-formulier niet naar waarheid beantwoord.	voornoemde	eerdere	deze					
Dit geeft urgentie, maar kan ook leiden tot vluchtgedrag.	urgentie	haast	druk	noodzaak	belang			
Wie kan wat doen (inventarisatie)?	inventarisatie							
Controleren, informeren en sanctioneren	sanctioneren	beboeten	bestraffen	straffen?	behandelen	Straffen		
Vooralsnog is er dus geen reden om te onderzoeken of er aparte recreatiezones moeten worden ingericht.	Vooralsnog	daarom	nu					
Voor de taskforce gelden de volgende uitgangspunten:	taskforce	actiegroep	werkgroep	taakgroep				
